,title,company,salary,summary,location,Experience
0,Software Developer (No Prior Experience Required),Revature,,"College degree (Associates or Bachelors).
Must be authorized to work in the US.
Strong desire to learn to code – No prior professional experience required.","Washington, DC",1
1,SQL Application Developer,ServiceSource Inc.,,Assist with the management and coordination between the tracking system vendor and software and installation of mobile tracking devices.,"Capitol Heights, MD",6
2,GIS Developer,Leidos,,Train other team members on GIS and other GIS technologies and provide guidance as needed • Proactively identify issues and bugs and provide solutions to…,"Washington, DC 20090 (South West area)+1 location",3
3,Jr Software Developer,KSquare Inc.,,"BS/ MS in IT or equivalent is required with strong academic background.
Recent graduates are encouraged to apply.
Travel would be required to client site.","Greenbelt, MD 20770",3
4,HP059 Junior Software Developer,"ADNET Systems, Inc.",,"Experience with using a Git workflow for software development.
We are seeking an early-career software developer to support the development of an intuitive user…","Greenbelt, MD 20771",6
5,Software Developer,Creative Systems and Consulting,,"To enhance our consulting practice, Creative is currently seeking self-motivated Software Developers to implement business requirements for cloud based…","McLean, VA 22102",6
6,Entry Level Software Developer,Revature,,"College degree (Associates or Bachelors).
Must be authorized to work in the US.
Strong desire to learn to code – No prior professional experience required.","Washington, DC",1
7,Software Engineer,PMcertDC,,"Software Engineer- Must have ability to gain a clearance (citizenship required).
You must be skilled in at least one coding language.","Washington, DC 20500 (Downtown area)",5
8,Front End Web Developer,National Security Agency,"$87,198 - $113,362 a year","Must also demonstrate knowledge (through coursework or experience) in using web-authoring software, graphic design software, and web programming languages.","Fort Meade, MD",3
9,Entry Level Software Developer,EAI Technologies,"$70,000 - $90,000 a year","Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",5
10,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",3
11,Junior Software Developer,Revature,,"College degree (Associates or Bachelors).
Must be authorized to work in the US.
Strong desire to learn to code – No prior professional experience required.","Hyattsville, MD",7
12,Software Developer,EAI Technologies,"$90,000 - $120,000 a year","Be the driver to work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",5
13,Junior Software Developer,Engineering Software and Network Services (ESNS),"$65,000 - $70,000 a year","Track and manage system performance and identify ways to optimize performance.
Research and identify new tools that can improve the overall system and services.","Washington, DC•Temporarily Remote",2
14,Software Engineer I (Applications),Leonardo DRS,,DRS Signal Solutions is seeking a Software Engineer I with software development knowledge and understanding of engineering technology to help develop leading…,"Germantown, MD 20876",2
15,Cloud Identity and Access Management (IAM) Engineer,CoStar Group,,"Minimum 5 years total experience in a technical role such as security, network, systems, or software engineer with at least 3 years focused on IAM.","Washington, DC 20005 (Logan Circle area)",5
16,BI Developer,Infosys,,"3+ years of experience in software development life cycle.
Ability to install and configure hardware, software and perform system upgrades.","Washington, DC",5
17,Software Engineer I (Applications),Leonardo DRS,,DRS Signal Solutions is seeking a Software Engineer I with software development knowledge and understanding of engineering technology to help develop leading…,"Germantown, MD 20876",4
18,Senior Software Engineer - Segmentation,Indeed,"$109,000 - $159,000 a year","Experience with all phases of software testing including test planning, functional testing, regression testing, code review, and design of new features.","Washington, DC 20006 (Downtown area)",2
19,ServiceNow Developer,Leidos,"$54,600 - $84,000 a year",Leidos is looking for a ServiceNow Developer to support ongoing ServiceNow continuous improvement projects of existing ServiceNow implementation for an…,"Herndon, VA 20170•Remote",4
20,ColdFusion Developer,Leidos,"$91,000 - $140,000 a year",The DCHRMS Program is currently seeking a ColdFusion Application Developer to sustain the DOD’s Automated Stopper and Referral System (ASARS).,"Herndon, VA 20170•Remote",2
21,Software Development Engineer in Test,Allogy,"$70,000 - $90,000 a year","The candidate should have experience with software testing and at least some programming background.
2 or more years of software testing experience; including…","Washington, DC•Remote",2
22,Junior Software Developer,Expression Networks,,"Working independently and within a team, the developer will be involved in all phases of the development lifecycle for custom client/server web-based…","Washington, DC•Remote",6
23,Sr. Software Developer I,iZeal,"$119,000 a year","Design, develop, implement, test, and deploy software applications.
Research, analyze, and determine information needs and dataflow requirements.","Sterling, VA 20165",5
24,Junior Full Stack Developer,BAE Systems,,"1 year of experience with programming and software development in multiple layers in the software stack (UI, web or micro services, database, search).","Washington, DC 20535 (Penn Quarter area)",2
25,"Software Quality Engineer I (Full Time, 2022)",MasterCard,,"SQE help guarantee the highest quality products and fastest possible software delivery.
Communicating complex problems and solutions to other engineers users of…","Arlington, VA•Temporarily Remote",6
26,HP059 Junior Software Developer,"ADNET Systems, Inc.",,"Experience with using a Git workflow for software development.
We are seeking an early-career software developer to support the development of an intuitive user…","Greenbelt, MD 20771",6
27,SQL Application Developer,ServiceSource Inc.,,Assist with the management and coordination between the tracking system vendor and software and installation of mobile tracking devices.,"Capitol Heights, MD",3
28,SharePoint Developer,Dev Technology,"$90,000 - $115,000 a year","Customer support issues are routed and tracked utilizing the Footprints software package.
Generous and flexible time off policy, new for 2021.","Washington, DC 20560 (South West area)",6
29,Software Developer,Dynanet Corporation,,"Experience as a developer and applying Object Oriented Programming (OOP) techniques, as appropriate.
Experience Web application technologies, such as HTML5,…","Washington, DC 20201 (South West area)•Remote",1
30,Enterprise Software Developer I,Abstract Evolutions,$40 - $70 an hour,"Develops software solutions by studying requirements analysis and information needs; conferring with stakeholders and IT Management; studying systems flow, data…","Washington, DC 20002 (Truxton Circle area)•Remote",7
31,Front End Web Developer,National Security Agency,"$87,198 - $113,362 a year","Must also demonstrate knowledge (through coursework or experience) in using web-authoring software, graphic design software, and web programming languages.","Fort Meade, MD",4
32,Junior Software Developer,Engineering Software and Network Services (ESNS),"$65,000 - $70,000 a year","Track and manage system performance and identify ways to optimize performance.
Research and identify new tools that can improve the overall system and services.","Washington, DC•Temporarily Remote",3
33,Staff Software Engineer - Job Search Experience,Indeed,"$132,000 - $192,000 a year","Actively participate with an Agile team of 4-6 software engineers.
This team is responsible for creating a world class developer experience that allows product…","Washington, DC 20006 (Downtown area)•Remote",2
34,Senior Software Engineer,Enovational,"$110,000 - $160,000 a year","Software development: 3 years (Required).
Provide guidance to less experienced developers and administrators in the form of code review, solution design, and…","Washington, DC 20005 (Downtown area)•Temporarily Remote",4
35,C++ Software Developer,Johns Hopkins Applied Physics Laboratory (APL),,At least 7 years of progressive software development experience with strong object-oriented software design and development skills with programming proficiency…,"Laurel, MD 20724",6
36,Graphics Software Developer,Leidos,,"All software is developed in a Linux environment, and written in C++ and OpenGL, utilizing various software packages.
Experience in modern game programming.","Bethesda, MD 20889",5
37,Business Analyst (Washington DC/St. Louis/Remote),CAVA,,"Ability to mentor and lead training sessions on software applications for end users of all skill sets.
Hospitality and/or ERP software experience preferred (i.e…","Washington, DC 20001 (Chinatown area)•Remote",3
38,Ubuntu on WSL Developer Advocate,Canonical - Jobs,,"Collaborate with software developers, product managers, other writers, information architects, quality assurance engineers, and technical support engineers to…","Washington, DC•Remote",2
39,Software Developer,Biz4mation,"$125,000 - $150,000 a year","Desires to have acturial programming or a strong mathematical background as replacement of it.
Strong programming skills using Python and C/C++ together.","Washington, DC•Temporarily Remote",2
40,Application Developer - Maximo,IBM,,The selected candidate will be part of our high performing Maximo Application Development and Management (ADM) services team playing a critical client facing…,"Washington, DC 20001 (Swampoodle area)+1 location",4
41,Software/Web Developer,BOEING,,"Experience with JAVA, CGI, Visual Basic to create software and Web application elements such as User Interfaces.
Experience using Managed Attribution Systems.","Washington, DC",4
42,Software Developer,Creative Systems and Consulting,,"To enhance our consulting practice, Creative is currently seeking self-motivated Software Developers to implement business requirements for cloud based…","McLean, VA 22102",5
43,GIS Developer,Leidos,,Train other team members on GIS and other GIS technologies and provide guidance as needed • Proactively identify issues and bugs and provide solutions to…,"Washington, DC 20090 (South West area)+1 location",7
44,"Software Developer, Junior",Booz Allen Hamilton,,"As a software developer on our team, you’ll help your team to overcome your customer’s most difficult challenges using the latest architectural approaches like…","Bethesda, MD+33 locations",1
45,Software Developer - Sitecore,Tahzoo,,"In this position, you will work directly with clients, lead and mentor other developers and serve as an individual contributor, doing hands-on coding yourself.","Washington, DC 20001 (Mount Vernon Square area)",5
46,Web Developer,"Technical Resources International, Inc.",,"Develop new functionality on existing software products; interact with analysts, production support and other project team members to understand the business…","Bethesda, MD 20817",4
47,HP057 SPDF Web Developer,"ADNET Systems, Inc.",,"We are seeking a Web Developer to support the Space Physics Data Facility (SPDF, https://spdf.gsfc.nasa.gov) at NASA’s Goddard Space Flight Center in Greenbelt,…","Greenbelt, MD 20771",5
48,Software Developer,"Gonzales Consulting Services, Inc.",,"Must Have Top Secret w/ Polygraph Security Clearance!*.
The Software Developer will join a small development team creating a custom binary analysis capability.","Washington, DC 20006 (Foggy Bottom area)",4
49,Software Engineer - Backend,theCut,,"Experience with software testing techniques.
5+ years experience in software development.
You should have knowledge in all stages of software development.","Washington, DC•Remote",1
50,Community Operations,Canonical - Jobs,,"Experience as a software developer.
You have experience with developer tools and open source projects.
You can get into the trenches with developers to smooth…","Washington, DC•Remote",3
51,Associate Software Engineer,CoStar Group,,"Drive and lead software design, development standards, code reviews.
On any given day our developers are building products that manage nearly a trillion dollars…","Washington, DC 20005 (Logan Circle area)",4
52,Junior Software Engineer,Mountain State Software Solutions (MS3),,"Mountain State Software Solutions offers a comprehensive, three-phase training program designed to develop and engage incoming entry level professionals.","Washington, DC",6
53,Software Developer- Circuit Simulation EDA,Siemens,,As a member of AFS R&D team you will participate in the design and implementation of efficient algorithms using state of the art software engineering processes…,"Bellevue, DC",2
54,Jr. Software Engineer,Savi,"$60,000 - $85,000 a year","Software development: 1 year (Preferred).
Own features through all phases of the software development cycle.
Experience with backend web frameworks like Django,…","Washington, DC 20005 (Downtown area)•Temporarily Remote",7
55,Junior Software Developer,Engineering Software and Network Services (ESNS),"$65,000 - $70,000 a year","Track and manage system performance and identify ways to optimize performance.
Research and identify new tools that can improve the overall system and services.","Washington, DC•Temporarily Remote",4
56,Web Developer,"CREATIVE BUSINESS SOLUTIONS, Inc.",,"Develop, maintain, and enhance systems based on business requirements using approved technologies and coding standards.
Job Types: Full-time, Contract.","Washington, DC 20420 (Downtown area)",2
57,Web Developer,Social Driver,,"They work with a cross-functional team which includes other developers, designers, UX / digital strategists, and project managers.","Washington, DC 20005 (Downtown area)",2
58,Physics / Math Graduate - Entry Level Software Developer,EAI Technologies,"$70,000 - $80,000 a year","Seeking PHYSICS or MATH graduates with a minor in CS or software technology bent that can learn/grow.
Discover the feelings of Camaraderie and Family while…","Vienna, VA 22182•Temporarily Remote",3
59,SharePoint Developer,"Technical Resources International, Inc.",,"Excellent understanding of the software development process, including design patterns, requirements analysis, testing, and deployment.","Bethesda, MD 20817",5
60,Software Engineer (Remote),MultiState,"$70,000 - $90,000 a year","Bachelor's degree in a technical discipline with US citizenship.
Continuous learner that enjoys solving problems and building products.
AWS (ECS, S3, SES, SQS).","Washington, DC•Remote",1
61,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",5
62,Front-End Software Developer,RaizLink,"$64,619 - $80,000 a year","Help back-end developers with coding and troubleshooting.
Collaborate with back-end developers and web designers to improve usability.","Washington, DC",6
63,Software Developer,EAI Technologies,"$90,000 - $120,000 a year","Be the driver to work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",4
64,Software Developer - Java,"Systems Definition, Inc.","$75,524 - $115,000 a year","The developer would attend team meetings, work with engineering teams, documentation teams, and other developers to create solutions.","Washington, DC 20375 (Anacostia Naval Station - Boiling Air Force Base area)•Temporarily Remote",3
65,Entry-Level Software Developer,Applied Software Inc.,,"Documentating and testing new software functionality.
Develop software as assigned (coding/programming).
We are looking for developers that majored in Computer…","Fulton, MD 20759",7
66,Software Developer I,Federal Reserve Board of Governors,,"Develops and implements resolution to routine software or data challenges including performance optimization.
The Software Developer I contributes to the design…","Washington, DC (Foggy Bottom area)",4
67,Full Stack Developer,NPR,,"Obsession with software scalability and performance.
Love for using and contributing to open-source software.
Proven skills with Angular are a must.","Washington, DC 20002 (Capitol Hill area)",4
68,Software Developer,NucoreVision (NVI),,"Directing our software programming initiatives.
Managing the software development lifecycle.
Developing and directing software system validation and testing…","Washington, DC 20526 (Foggy Bottom area)•Temporarily Remote",4
69,Web Designer,Analytica,,"Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management…","Washington, DC 20001 (Shaw area)",5
70,Entry Level Software Developer,EAI Technologies,"$70,000 - $90,000 a year","Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",5
71,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",2
72,GIS Application Developer,"Avineon, Inc.",$34 - $77 an hour,"The candidate will provide expertise for the successful design and deployment of custom and configurable web/GIS applications, spatial analysis tools, and GIS…","Washington, DC 20001 (Shaw area)",7
73,"Software Developer, Junior (Pega)","Quadrint, Inc.",,"Ability to access a system for which federal law requires U.S.
Citizenship, and the ability to obtain/maintain a security clearance is required.","Washington, DC 20535 (Downtown area)",2
74,IT Support Specialist,Sciolex Corporation,,"Monitors and responds to complex hardware, software and network problems utilizing a variety of hardware and software testing tools and techniques.","Washington, DC 20036 (Downtown area)",3
75,Junior Software Developer,Revature,,"College degree (Associates or Bachelors).
Must be authorized to work in the US.
Strong desire to learn to code – No prior professional experience required.","Hyattsville, MD",3
76,JavaScript Developer (100% Remote),Spatial Front,,"Responsible for augmentation of user interface code including React, JavaScript, HTML, CSS.
Responsible for creation of simple to moderately complex user…","Silver Spring, MD 20903•Remote",5
77,Visual/Web Developer (front-end),American Chemical Society,,"Work with other designers and developers to establish and maintain style guides, standards, and design systems.
Solid understanding of UX fundamentals.","Washington, DC 20036 (Downtown area)•Temporarily Remote",2
78,Software Engineer,CoStar Group,,"Drive and lead software design, development standards, code reviews.
On any given day our developers are building products that manage nearly a trillion dollars…","Washington, DC 20005 (Logan Circle area)+1 location",2
79,Software Engineer,TradeWind Services,,"Experience in the development of complex software systems using industry best practices.
All systems will be subject to review and correction by staff software…","Washington, DC",2
80,Software Developer,Tripleseat,,"Have 3 - 5 years of work experience working with software teams.
Have strong opinions on how software should be produced, but are willing to make compromises…","Washington, DC 20001 (Shaw area)•Remote",3
81,Entry Level Software Developer,EAI Technologies,"$70,000 - $90,000 a year","Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",1
82,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",1
83,Application Developer,Analytica,,Analytica is seeking an experienced Java Developer to support a civilian federal government customer engagement in the Washington DC metro area.,"Washington, DC 20036 (Downtown area)",5
84,Junior Software Developer,Revature,,"College degree (Associates or Bachelors).
Must be authorized to work in the US.
Strong desire to learn to code – No prior professional experience required.","Hyattsville, MD",5
85,Web Developer & Multimedia Designer,US Assistant Secretary for Fair Housing and Equal...,"$103,690 - $134,798 a year","Utilizing current graphic design software to produce and disseminate media; AND.
Write well designed, testable, efficient code by using best software…","Washington, DC",5
86,Software Developer - Top Secret clearance required,TAA Solutions LLC,,TAA Solutions is immediately hiring for multiple Software Developers to support a Federal Client based out in the Washington D.C. Metro area.,"Washington, DC•Remote",2
87,Systems Administrator,United Solutions LLC,"$50,000 - $150,000 a year","Manage passwords, SSO policies, and best practices across all company software.
Process software requests including the pre-installation research, vetting, and…","Rockville, MD 20850 (Town Center area)",4
88,Web Application Developer,ActioNet,,You will join a close-knit and highly technical team of web developers and systems administrators that support and provide web development to Ocean and…,"Washington, DC 20001 (Shaw area)+3 locations",7
89,PHP Developer,Artemis Consulting Inc,,"Under minimal direction, performs as a web application developer in the design, development, coding, testing, and debugging of new software and existing…","Washington, DC 20001 (Shaw area)•Remote",2
90,Software Developer,EAI Technologies,"$90,000 - $120,000 a year","Be the driver to work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of you/your team's work on a daily basis.","Vienna, VA 22182•Temporarily Remote",3
91,"Security Software Developer, Integrity Investigations and In...",Facebook,,"4+ years of software development experience.
We are seeking experienced security engineers to support the identification, understanding, investigation,…","Washington, DC 20004 (Penn Quarter area)",2
92,Senior Database Developer,Noetic Strategies Inc.,"$141,000 - $160,000 a year","Designs and develops new software products or major enhancements to existing software.
The position will work at a customer facility alongside other developers,…","Washington, DC 20223 (Downtown area)",6
93,Web and UI Developer,The Rock Creek Group,,"At least 3 years experience as a web, UI, or UX developer.
Provide a meaningful connection between the company’s public-facing website, internal Intranet, and…","Washington, DC 20036 (Downtown area)",2
94,Federal - Software Developer (3666379),Accenture,,"As a developer, you will architect, design, develop, deploy, and maintain an entire web application from the UI to the cloud infrastructure.","Washington, DC",1
95,Entry Level Software Developer,EAI Technologies,"$70,000 - $90,000 a year","Discover the feelings of Camaraderie and Family while being technically challenged to grow!
Come see why so many employees have been with us for 5 - 10+ years…","Vienna, VA 22182•Temporarily Remote",5
96,Software Engineer,Emerson Automation Solutions,"$91,000 - $145,000 a year","We are looking for a meticulous leader and software engineer passionate about ensuring quality production software.
Senior Software Test Automation Engineer*.","Washington, DC",5
97,Front End Web Developer,StraitSys,,"StraitSys is looking for a Web Developer to help support one of our Federal Customers Washington, DC.
StraitSys is certified woman owned business that was…","Washington, DC 20001 (Shaw area)",6
98,Entry Level Appian Developer,Technology Solutions Provider Inc.,,TSPi provides the services required to enable our customers to streamline their business processes and take advantage of the Appian software platform.,"Reston, VA 20191 (South Lakes Dr - Soapstone Dr area)",2
